service_id,date,exception_type
1,20130520,2
2,20130520,2
9,20130530,1
9,20130531,1
9,20130603,1
9,20130604,1
9,20130605,1
9,20130606,1
9,20130607,1
9,20130610,1
9,20130611,1
9,20130612,1
9,20130613,1
9,20130614,1
9,20130617,1
9,20130618,1
9,20130619,1
9,20130620,1
9,20130621,1
9,20130902,1
9,20130903,1
9,20130904,1
9,20130905,1
9,20130906,1
9,20130909,1
9,20130910,1
9,20130911,1
9,20130912,1
9,20130913,1
9,20130916,1
9,20130917,1
9,20130918,1
9,20130919,1
9,20130920,1
9,20130923,1
9,20130924,1
9,20130925,1
9,20130926,1
9,20130927,1
9,20130930,1
9,20131001,1
9,20131002,1
9,20131003,1
9,20131004,1
10,20130530,1
10,20130531,1
10,20130603,1
10,20130604,1
10,20130606,1
10,20130607,1
10,20130610,1
10,20130611,1
10,20130613,1
10,20130614,1
10,20130617,1
10,20130618,1
10,20130620,1
10,20130621,1
10,20130902,1
10,20130903,1
10,20130905,1
10,20130906,1
10,20130909,1
10,20130910,1
10,20130912,1
10,20130913,1
10,20130916,1
10,20130917,1
10,20130919,1
10,20130920,1
10,20130923,1
10,20130924,1
10,20130926,1
10,20130927,1
10,20130930,1
10,20131001,1
10,20131003,1
10,20131004,1
11,20130531,1
11,20130605,1
11,20130607,1
11,20130612,1
11,20130614,1
11,20130619,1
11,20130621,1
11,20130904,1
11,20130906,1
11,20130911,1
11,20130913,1
11,20130918,1
11,20130920,1
11,20130925,1
11,20130927,1
11,20131002,1
11,20131004,1
12,20130531,1
12,20130607,1
12,20130614,1
12,20130621,1
12,20130906,1
12,20130913,1
12,20130920,1
12,20130927,1
12,20131004,1
13,20130531,1
13,20130604,1
13,20130605,1
13,20130607,1
13,20130611,1
13,20130612,1
13,20130614,1
13,20130618,1
13,20130619,1
13,20130621,1
13,20130903,1
13,20130904,1
13,20130906,1
13,20130910,1
13,20130911,1
13,20130913,1
13,20130917,1
13,20130918,1
13,20130920,1
13,20130924,1
13,20130925,1
13,20130927,1
13,20131001,1
13,20131002,1
13,20131004,1
14,20130624,1
14,20130625,1
14,20130626,1
14,20130627,1
14,20130628,1
14,20130701,1
14,20130702,1
14,20130703,1
14,20130704,1
14,20130705,1
14,20130713,2
14,20130720,2
14,20130727,2
14,20130803,2
14,20130810,2
14,20130817,2
14,20130824,2
14,20130826,1
14,20130827,1
14,20130828,1
14,20130829,1
14,20130830,1
15,20130713,2
15,20130720,2
15,20130727,2
15,20130803,2
15,20130810,2
15,20130817,2
15,20130824,2
16,20130714,2
16,20130721,2
16,20130728,2
16,20130804,2
16,20130811,2
16,20130818,2
16,20130825,2
17,20130605,1
17,20130612,1
17,20130619,1
17,20130904,1
17,20130911,1
17,20130918,1
17,20130925,1
17,20131002,1
18,20130624,1
18,20130625,1
18,20130626,1
18,20130627,1
18,20130628,1
18,20130701,1
18,20130702,1
18,20130703,1
18,20130704,1
18,20130705,1
18,20130826,1
18,20130827,1
18,20130828,1
18,20130829,1
18,20130830,1
19,20130625,1
19,20130626,1
19,20130628,1
19,20130702,1
19,20130703,1
19,20130705,1
19,20130827,1
19,20130828,1
19,20130830,1
20,20130815,2
22,20130815,1
