stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
21209,910,POLE MULTIMODAL,PEM1,+49.107560,+06.177989,0,10619
10619,PEM,POLE MULTIMODAL,,+49.107501,+06.177698,1,
20197,141,ARENES,,+49.106035,+06.173556,0,10093
10093,ARENE,ARENES,,+49.105965,+06.173556,1,
20111,142,ROI GEORGE,,+49.110559,+06.171241,0,10054
10054,ROIGE,ROI GEORGE,,+49.110649,+06.170314,1,
21230,880,POINCARE,,+49.116926,+06.168840,0,10629
10629,poinc,POINCARE,,+49.116814,+06.168722,1,
20165,22,COMEDIE,,+49.120960,+06.172025,0,10072
10072,COMED,COMEDIE,,+49.120960,+06.172025,1,
20102,264,BELLE-ISLE,,+49.121261,+06.168798,0,10049
10049,6BE,BELLE-ISLE,,+49.121261,+06.168798,1,
20100,265,FORT MOSELLE,,+49.124845,+06.164707,0,10048
10048,FORTM,FORT MOSELLE,,+49.124460,+06.164864,1,
20518,395,TIGNOMONT,,+49.127595,+06.160145,0,10047
10047,TIGNO,TIGNOMONT,,+49.126804,+06.159731,1,
20475,396,COLIBRI,,+49.130071,+06.158906,0,10238
10238,2COLI,COLIBRI,,+49.130172,+06.158645,1,
20473,397,LE MOYNE,,+49.131298,+06.156734,0,10237
10237,LEMOY,LE MOYNE,,+49.131365,+06.156508,1,
20471,398,N. JUNG,,+49.133359,+06.153132,0,10236
10236,JUNG,N. JUNG,,+49.133504,+06.152807,1,
20469,399,LORRY,,+49.135534,+06.149240,0,10235
10235,Lorry,LORRY,,+49.135455,+06.149290,1,
20467,400,SANSONNET,,+49.136522,+06.147127,0,10234
10234,SANSO,SANSONNET,,+49.136426,+06.147192,1,
20909,728,FRIERES,,+49.140403,+06.135219,0,10468
10468,6FRIE,FRIERES,,+49.140274,+06.135370,1,
20911,729,CARREFOUR,,+49.144455,+06.127848,0,10469
10469,8CARR,CARREFOUR,,+49.144439,+06.127728,1,
20913,730,ATELIERS MUNICIPAUX,,+49.142520,+06.121790,0,10470
10470,ATELI,ATELIERS MUNICIPAUX,,+49.142504,+06.121901,1,
20915,731,LORRY GRAND RUE,,+49.141806,+06.118326,0,10471
10471,LORGR,LORRY GRAND RUE,,+49.141770,+06.118458,1,
20917,732,CHAPELLE,,+49.141731,+06.115640,0,10472
10472,10CHA,CHAPELLE,,+49.141697,+06.115701,1,
20919,733,CARRIERE,,+49.168981,+06.049968,0,10473
10473,11CAR,CARRIERE,,+49.169005,+06.050133,1,
20921,734,GRAND RUE,,+49.168660,+06.048524,0,10474
10474,12GRA,GRAND RUE,,+49.168615,+06.048465,1,
20923,735,AMANVILLERS MAIRIE,,+49.167352,+06.043792,0,10475
10475,Amanv,AMANVILLERS MAIRIE,,+49.167333,+06.043940,1,
20926,719,JUSTICE,,+49.166546,+06.038340,0,10477
10477,Justi,JUSTICE,,+49.166546,+06.038340,1,
21028,832,PETIT COEUR,,+49.166103,+06.040458,0,10531
10531,PTCOE,PETIT COEUR,,+49.166103,+06.040458,1,
20922,720,AMANVILLERS MAIRIE,,+49.167315,+06.044089,0,10475
