route_id,service_id,trip_id,trip_headsign,direction_id,block_id
43,1,2380159,JEAN MOULIN,1,01
43,1,2380169,JEAN MOULIN,1,01
43,1,2380170,POLE MULTIMODAL,0,01
43,1,2380148,POLE MULTIMODAL,0,03
43,1,2380156,JEAN MOULIN,1,03
43,1,2380163,JEAN MOULIN,1,03
43,1,2380164,JEAN MOULIN,1,03
43,1,2380167,POLE MULTIMODAL,0,03
43,1,2380171,JEAN MOULIN,1,ST08
24,1,2381163,POLE MULTIMODAL,0,01
24,1,2381167,FRANCLONCHAMPS,1,01
24,1,2381170,POLE MULTIMODAL,0,01
24,1,2381173,FRANCLONCHAMPS,1,01
24,1,2381176,POLE MULTIMODAL,0,01
24,1,2381178,FRANCLONCHAMPS,1,01
24,1,2381179,FRANCLONCHAMPS,1,01
24,1,2381181,POLE MULTIMODAL,0,01
24,1,2381184,FRANCLONCHAMPS,1,01
24,1,2381197,POLE MULTIMODAL,0,01
24,1,2381165,POLE MULTIMODAL,0,02
24,1,2381166,POLE MULTIMODAL,0,02
24,1,2381168,FRANCLONCHAMPS,1,02
24,1,2381171,POLE MULTIMODAL,0,02
24,1,2381177,POLE MULTIMODAL,0,02
24,1,2381180,FRANCLONCHAMPS,1,02
24,1,2381182,POLE MULTIMODAL,0,02
24,1,2381185,FRANCLONCHAMPS,1,02
24,1,2381191,FRANCLONCHAMPS,1,02
24,1,2381202,FRANCLONCHAMPS,1,02
55,1,2379615,POLE MULTIMODAL,0,01
55,1,2379617,POLE MULTIMODAL,0,01
55,1,2379622,MARIEULLES,1,01
55,1,2379624,MARIEULLES,1,01
55,1,2379616,POLE MULTIMODAL,0,02
55,1,2379623,MARIEULLES,1,02
55,1,2379618,POLE MULTIMODAL,0,02
55,1,2379620,POLE MULTIMODAL,0,02
55,1,2379625,MARIEULLES,1,02
55,1,2379627,MARIEULLES,1,02
55,1,2379619,POLE MULTIMODAL,0,03
55,1,2379626,MARIEULLES,1,03
55,1,2379628,MARIEULLES,1,03
41,1,2383689,MOULINS,0,01
41,1,2383690,MOULINS,0,02
41,1,2383715,LE QUOITY,1,03
41,1,2383716,LE QUOITY,1,04
41,1,2383687,MOULINS,0,tad05
41,1,2383688,MOULINS,0,tad06
41,1,2383702,LE QUOITY,1,tad06
41,1,2383703,LE QUOITY,1,tad07
41,1,2383691,MOULINS,0,tad08
41,1,2383692,MOULINS,0,tad08
41,1,2383693,MOULINS,0,tad08
41,1,2383694,MOULINS,0,tad08
41,1,2383695,MOULINS,0,tad08
41,1,2383696,MOULINS,0,tad08
41,1,2383697,MOULINS,0,tad08
41,1,2383698,MOULINS,0,tad08
41,1,2383704,LE QUOITY,1,tad08
41,1,2383705,LE QUOITY,1,tad08
41,1,2383706,LE QUOITY,1,tad08
41,1,2383707,LE QUOITY,1,tad08
